datetime,pm25
20140928-13:00,12
20140928-14:00,12
20140928-15:00,12
20140928-16:00,12
20140928-17:00,12
20140928-18:00,12
20140928-19:00,13
20140928-20:00,13
20140928-21:00,13
20140928-22:00,14
20140928-23:00,15
20140929-0:00,14
20140929-1:00,13
20140929-2:00,13
20140929-3:00,14
20140929-4:00,15
20140929-5:00,13
20140929-6:00,12
20140929-7:00,12
20140929-8:00,12
20140929-9:00,12
20140929-10:00,12
20140929-11:00,12
20140929-12:00,12
20140929-13:00,12
20140929-14:00,12
20140929-15:00,12
20140929-16:00,12
20140929-17:00,12
20140929-18:00,13
20140929-19:00,12
20140929-20:00,13
20140929-21:00,17
20140929-22:00,16
20140929-23:00,15
20140930-0:00,15
20140930-1:00,16
20140930-2:00,21
20140930-3:00,21
20140930-4:00,22
20140930-5:00,24
20140930-6:00,24
20140930-7:00,23
20140930-8:00,21
20140930-9:00,21
20140930-10:00,17
20140930-11:00,13
20140930-12:00,12
20140930-13:00,12
20140930-14:00,12
20140930-15:00,12
20140930-16:00,12
20140930-17:00,12
20140930-18:00,12
20140930-19:00,12
20140930-20:00,13
20140930-21:00,12
20140930-22:00,12
20140930-23:00,13
20141001-0:00,13
20141001-1:00,13
20141001-2:00,15
20141001-3:00,18
20141001-4:00,19
20141001-5:00,20
20141001-6:00,19
20141001-7:00,21
20141001-8:00,20
20141001-9:00,18
20141001-10:00,15
20141001-11:00,15
20141001-12:00,14
20141001-13:00,13
20141001-14:00,13
20141001-15:00,13
20141001-16:00,13
20141001-17:00,14
20141001-18:00,15
20141001-19:00,16
20141001-20:00,16
20141001-21:00,16
20141001-22:00,17
20141001-23:00,19
20141002-0:00,18
20141002-1:00,18
20141002-2:00,19
20141002-3:00,20
20141002-4:00,21
20141002-5:00,23
20141002-6:00,25
20141002-7:00,26
20141002-8:00,29
20141002-9:00,27
20141002-10:00,26
20141002-11:00,26
20141002-12:00,24
20141002-13:00,23
20141002-14:00,21
20141002-15:00,20
20141002-16:00,20
20141002-17:00,20
20141002-18:00,19
20141002-19:00,20
20141002-20:00,28
20141002-21:00,28
20141002-22:00,31
20141002-23:00,38
20141003-0:00,37
20141003-1:00,38
20141003-2:00,36
20141003-3:00,38
20141003-4:00,41
20141003-5:00,41
20141003-6:00,41
20141003-7:00,41
20141003-8:00,47
20141003-9:00,48
20141003-10:00,45
20141003-11:00,38
20141003-12:00,33
20141003-13:00,33
20141003-14:00,29
20141003-15:00,26
20141003-16:00,23
20141003-17:00,22
20141003-18:00,19
20141003-19:00,18
20141003-20:00,18
20141003-21:00,19
20141003-22:00,19
20141003-23:00,22
20141004-0:00,24
20141004-1:00,25
20141004-2:00,24
20141004-3:00,24
20141004-4:00,24
20141004-5:00,27
20141004-6:00,28
20141004-7:00,26
20141004-8:00,25
20141004-9:00,25
20141004-10:00,22
20141004-11:00,19
20141004-12:00,17
20141004-13:00,17
20141004-14:00,16
20141004-15:00,16
20141004-16:00,15
20141004-17:00,15
20141004-18:00,15
20141004-19:00,15
20141004-20:00,16
20141004-21:00,21
20141004-22:00,22
20141004-23:00,25
20141005-0:00,28
20141005-1:00,32
20141005-2:00,34
20141005-3:00,37
20141005-4:00,54
20141005-5:00,87
20141005-6:00,78
20141005-7:00,64
20141005-8:00,74
20141005-9:00,87
20141005-10:00,94
20141005-11:00,72
20141005-12:00,62
20141005-13:00,50
20141005-14:00,45
20141005-15:00,41
20141005-16:00,39
20141005-17:00,34
20141005-18:00,40
20141005-19:00,50
20141005-20:00,72
20141005-21:00,97
20141005-22:00,108
20141005-23:00,79
20141006-0:00,93
20141006-1:00,97
20141006-2:00,104
20141006-3:00,107
20141006-4:00,117
20141006-5:00,105
20141006-6:00,85
20141006-7:00,84
20141006-8:00,73
20141006-9:00,61
20141006-10:00,53
20141006-11:00,52
